"Time","Humidity Run 1","Light Run 1","Pressure Run 1","Pressure Run 1","Sound Run 1","Temperature Run 1",Comment
"s","%RH","lx","kPa","kPa","dBA","°C"
"0","47.5","111","99.3","100.00","54.7","23.6"
"0.96","47.4","111","99.2","99.99","43.1","23.6"
"1.92","47.4","111","99.2","99.98","63.0","23.6"
"2.88","47.3","111","99.2","100.00","52.8","23.5"
"3.84","47.3","112","99.2","100.01","72.4","23.5"
"4.8","47.3","111","99.2","99.99","66.0","23.5"
"5.76","47.3","112","99.2","99.97","74.3","23.5"
"6.72","47.3","112","99.2","99.99","46.0","23.5"
"7.68","47.3","111","99.2","99.98","42.1","23.5"
"8.64","47.3","111","99.2","100.00","76.2","23.5"
"9.6","47.2","111","99.2","100.00","72.9","23.5"
"10.56","47.2","111","99.2","99.98","56.9","23.5"
"11.52","47.2","111","99.2","99.97","45.6","23.5"
"12.48","47.2","111","99.2","99.98","50.8","23.4"
"13.44","47.2","112","99.2","100.01","72.6","23.4"
"14.4","47.2","111","99.2","100.00","53.3","23.4"
"15.36","47.2","112","99.2","100.01","54.8","23.4"
"16.32","47.2","112","99.2","99.95","68.9","23.4"
"17.28","47.1","111","99.2","100.02","71.6","23.4"
"18.24","47.1","111","99.2","100.01","55.9","23.4"
"19.2","47.1","112","99.2","100.01","79.7","23.4"
"20.16","47.1","112","99.2","99.99","40.0","23.4"
"21.12","47.1","96","99.2","99.99","86.3","23.4"
"22.08","47.1","98","99.2","99.97","45.0","23.4"
"23.04","47.1","110","99.2","100.02","43.0","23.4"
"24","47.1","112","99.2","99.98","73.3","23.4"
"24.96","47.1","112","99.2","100.00","52.2","23.3"
"25.92","47.2","107","99.2","99.97","77.0","23.3"
"26.88","47.2","54","99.2","100.01","57.9","23.3"
"27.84","47.2","27","99.2","100.00","70.3","23.3"
"28.8","47.1","134","99.2","100.01","41.4","23.3"
"29.76","47.1","302","99.2","99.98","62.3","23.3"
"30.72","47.2","322","99.2","100.00","71.8","23.3"
"31.68","47.2","333","99.2","99.99","55.6","23.3"
"32.64","47.2","331","99.2","100.00","73.6","23.3"
"33.6","47.2","322","99.2","99.98","54.1","23.3"
"34.56","47.2","321","99.2","100.00","40.0","23.3"
"35.52","47.2","315","99.2","99.96","79.1","23.3"
"36.48","47.2","316","99.2","100.01","51.2","23.3"
"37.44","47.2","323","99.2","99.97","68.3","23.3"
"38.4","47.2","320","99.2","100.02","79.0","23.3"
"39.36","47.2","234","99.2","100.00","68.9","23.3"
"40.32","47.2","241","99.2","99.95","59.6","23.3"
"41.28","47.2","308","99.2","99.94","45.3","23.3"
"42.24","47.2","317","99.2","100.00","80.1","23.3"
"43.2","47.2","307","99.2","99.96","70.1","23.3"
"44.16","47.2","297","99.2","100.00","70.9","23.3"
"45.12","47.2","315","99.2","99.98","68.1","23.3"
"46.08","47.2","319","99.2","100.00","68.7","23.3"
"47.04","47.2","350","99.2","100.00","40.0","23.3"
"48","47.2","353","99.2","100.01","42.0","23.3"
"48.96","47.2","345","99.2","99.98","41.7","23.3"
"49.92","47.1","328","99.2","99.98","40.0","23.3"
"50.88","47.1","346","99.2","100.01","65.2","23.3"
"51.84","47.1","339","99.2","100.01","48.7","23.3"
"52.8","47.1","344","99.2","99.96","49.5","23.3"
"53.76","47.1","341","99.2","99.98","40.0","23.2"
"54.72","47.1","334","99.2","99.97","40.0","23.3"
"55.68","47.1","328","99.2","99.99","49.3","23.3"
"56.64","47.1","331","99.2","99.99","60.0","23.2"
"57.6","47.1","331","99.2","99.96","60.3","23.2"
"58.56","47.1","329","99.2","99.99","40.0","23.2"
"59.52","47.1","328","99.2","100.03","67.9","23.2"
"60.48","47.0","373","99.2","99.98","53.5","23.2"
"61.44","47.0","403","99.2","100.02","60.8","23.2"
"62.4","47.0","411","99.2","99.99","40.0","23.2"
"63.36","47.0","412","99.2","99.99","40.0","23.2"
"64.32","47.0","403","99.2","99.95","64.6","23.2"
"65.28","47.0","377","99.2","99.98","68.3","23.2"
"66.24","47.0","375","99.2","100.02","74.8","23.2"
"67.2","47.0","386","99.2","100.00","40.0","23.2"
"68.16","47.0","386","99.2","99.99","40.0","23.2"
"69.12","47.0","357","99.2","99.95","63.8","23.2"
"70.08","47.0","333","99.2","99.99","69.3","23.1"
"71.04","47.0","349","99.2","100.00","84.6","23.1"
"72","47.0","347","99.2","99.99","68.3","23.1"
"72.96","47.0","345","99.2","99.98","69.8","23.1"
"73.92","47.0","348","99.2","99.99","65.7","23.1"
"74.88","46.9","347","99.2","100.00","53.8","23.1"
"75.84","46.9","342","99.2","99.97","54.0","23.1"
"76.8","46.9","354","99.2","99.99","47.4","23.1"
"77.76","46.9","275","99.2","99.96","67.0","23.1"
"78.72","46.9","326","99.2","99.97","47.9","23.1"
"79.68","46.9","332","99.2","100.02","48.2","23.1"
"80.64","46.9","344","99.2","99.99","45.1","23.1"
"81.6","46.9","356","99.2","100.00","61.5","23.1"
"82.56","46.9","376","99.2","99.97","69.8","23.1"
"83.52","46.9","403","99.2","100.00","61.7","23.1"
"84.48","46.9","425","99.2","99.99","62.1","23.1"
"85.44","46.9","430","99.2","99.97","55.2","23.1"
"86.4","46.8","431","99.2","100.00","44.0","23.1"
"87.36","46.8","420","99.2","99.98","60.9","23.1"
"88.32","46.8","359","99.2","99.98","69.8","23.1"
"89.28","46.8","330","99.2","100.00","65.7","23.1"
"90.24","46.8","336","99.2","99.98","49.7","23.1"
"91.2","46.8","338","99.2","99.97","40.0","23.1"
"92.16","46.8","341","99.2","100.01","40.0","23.2"
"93.12","46.8","363","99.2","99.98","60.2","23.2"
"94.08","46.8","379","99.2","100.01","70.5","23.2"
"95.04","46.8","377","99.2","99.98","40.0","23.2"
"96","46.8","373","99.2","99.99","40.0","23.2"
"96.96","46.7","361","99.2","99.99","76.4","23.2"
"97.92","46.7","75","99.2","100.01","85.5","23.2"
"98.88","46.7","16","99.2","100.01","65.3","23.2"
"99.84","46.7","8","99.2","100.04","40.0","23.2"
"100.8","46.7","6","99.2","100.01","68.2","23.3"
"101.76","46.7","6","99.2","99.99","40.9","23.3"
"102.72","46.7","6","99.2","100.00","63.8","23.3"
"103.68","46.7","6","99.2","100.00","40.0","23.3"
"104.64","46.7","144","99.2","100.02","70.5","23.3"
"105.6","46.7","305","99.2","100.00","58.0","23.3"
"106.56","46.7","348","99.2","99.99","74.5","23.3"
"107.52","46.7","360","99.2","99.99","68.7","23.3"
"108.48","46.7","363","99.2","99.99","72.5","23.3"
"109.44","46.7","339","99.2","100.00","75.5","23.3"
"110.4","46.7","418","99.2","99.99","80.3","23.3"
"111.36","46.7","442","99.2","99.99","74.4","23.3"
"112.32","46.7","429","99.2","99.95","74.0","23.4"
"113.28","46.7","341","99.2","100.00","40.0","23.4"
"114.24","46.7","205","99.2","99.99","60.1","23.4"
"115.2","46.7","191","99.2","100.00","47.8","23.4"
"116.16","46.7","184","99.2","99.97","72.1","23.4"
"117.12","46.7","181","99.2","99.98","60.2","23.4"
"118.08","46.7","176","99.2","100.00","78.7","23.4"
"119.04","46.7","171","99.2","100.03","40.0","23.4"
"120","46.7","239","99.2","99.98","47.4","23.4"
"120.96","46.7","230","99.2","100.00","70.3","23.4"
"121.92","46.7","221","99.2","100.01","44.4","23.4"
"122.88","46.7","238","99.2","99.98","70.8","23.4"
"123.84","46.7","147","99.2","100.01","73.0","23.4"
